project,class_name,method_name,extract_lines,identifier,,,,,,,,,,,,,,,,,,,,,
libgdx,ModelInstance,copyNodes,1-9,private void copyNodes (Array<Node> nodes),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelBatch,render,4-6,"public void render (final RenderableProvider renderableProvider, final Environment environment)",,,,,,,,,,,,,,,,,,,,,
libgdx,Attributes,same,4-5,"public final boolean same (final Attributes other, boolean compareValues)",,,,,,,,,,,,,,,,,,,,,
libgdx,Attributes,compareTo,3-4,public int compareTo (Attributes other),,,,,,,,,,,,,,,,,,,,,
libgdx,Model,loadAnimations,44;7-38,protected void loadAnimations (Iterable<ModelAnimation> modelAnimations),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelBatch,begin,3,public void begin (final Camera cam),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelBatch,setCamera,2,public void setCamera (final Camera cam),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelInstance,copyAnimation,33;7-29,"public void copyAnimation (Animation sourceAnim, boolean shareKeyframes)",,,,,,,,,,,,,,,,,,,,,
libgdx,Model,convertMesh,17-23;27-28,protected void convertMesh (ModelMesh modelMesh),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelCache,add,2-5,public void add (Renderable renderable),,,,,,,,,,,,,,,,,,,,,
libgdx,DecalBatch,initialize,12-21;2-5,public void initialize (int size),,,,,,,,,,,,,,,,,,,,,
libgdx,CameraGroupStrategy,beforeGroups,2-4,public void beforeGroups (),,,,,,,,,,,,,,,,,,,,,
libgdx,Decal,setRotation,1-3,"public void setRotation (Vector3 dir, Vector3 up)",,,,,,,,,,,,,,,,,,,,,
libgdx,DecalBatch,render,1-5,protected void render (),,,,,,,,,,,,,,,,,,,,,
libgdx,Decal,rotateX,1-2,public void rotateX (float angle),,,,,,,,,,,,,,,,,,,,,
libgdx,Decal,rotateY,1-2,public void rotateY (float angle),,,,,,,,,,,,,,,,,,,,,
libgdx,Decal,rotateZ,1-2,public void rotateZ (float angle),,,,,,,,,,,,,,,,,,,,,
libgdx,DecalBatch,clear,2-3,protected void clear (),,,,,,,,,,,,,,,,,,,,,
libgdx,DecalBatch,render,2-9;11;13;;15;16-19,"private void render (ShaderProgram shader, Array<Decal> decals)",,,,,,,,,,,,,,,,,,,,,
libgdx,AmbientCubemap,add,1-5,"public AmbientCubemap add (float r, float g, float b)",,,,,,,,,,,,,,,,,,,,,
libgdx,SphericalHarmonics,set,1-5,"public SphericalHarmonics set (float r, float g, float b)",,,,,,,,,,,,,,,,,,,,,
libgdx,DirectionalLight,set,2,"public DirectionalLight set (final Color color, final Vector3 direction)",,,,,,,,,,,,,,,,,,,,,
libgdx,DirectionalLight,set,2,"public DirectionalLight set (final Color color, final float dirX, final float dirY, final float dirZ)",,,,,,,,,,,,,,,,,,,,,
libgdx,PointLight,set,2,"public PointLight set (final Color color, final Vector3 position, final float intensity)",,,,,,,,,,,,,,,,,,,,,
libgdx,PointLight,set,2,"public PointLight set (final float r, final float g, final float b, final Vector3 position, final float intensity)",,,,,,,,,,,,,,,,,,,,,
libgdx,SpotLight,set,4,"public SpotLight set (final Color color, final Vector3 position, final Vector3 direction, final float intensity, final float cutoffAngle, final float exponent)",,,,,,,,,,,,,,,,,,,,,
libgdx,SpotLight,set,3,"public SpotLight set (final Color color, final Vector3 position, final Vector3 direction, final float intensity, final float cutoffAngle, final float exponent)",,,,,,,,,,,,,,,,,,,,,
libgdx,SpotLight,set,3-4,"public SpotLight set (final float r, final float g, final float b, final Vector3 position, final Vector3 direction, final float intensity, final float cutoffAngle, final float exponent)",,,,,,,,,,,,,,,,,,,,,
libgdx,G3dModelLoader,parseAnimations,14-91,"protected void parseAnimations (ModelData model, JsonValue json)",,,,,,,,,,,,,,,,,,,,,
libgdx,ObjLoader,load,9-64,public void load (FileHandle file),,,,,,,,,,,,,,,,,,,,,
libgdx,G3dModelLoader,parseNodesRecursively,47-57;36-59;29-33,protected ModelNode parseNodesRecursively (JsonValue json),,,,,,,,,,,,,,,,,,,,,
libgdx,ObjMaterial,addTexture,2-6,"private void addTexture (ModelMaterial mat, String texFilename, int usage)",,,,,,,,,,,,,,,,,,,,,
libgdx,MtlLoader,parseColor,4-7,private Color parseColor (String[] tokens),,,,,,,,,,,,,,,,,,,,,
libgdx,MtlLoader,load,8-60,public void load (FileHandle file),,,,,,,,,,,,,,,,,,,,,
libgdx,ObjLoader,loadModelData,87-90;129-136;39-60;102-127;143-165,"protected ModelData loadModelData (FileHandle file, boolean flipV)",,,,,,,,,,,,,,,,,,,,,
libgdx,G3dModelLoader,parseMeshes,18-19;28-30;34-36,"protected void parseMeshes (ModelData model, JsonValue json)",,,,,,,,,,,,,,,,,,,,,
libgdx,G3dModelLoader,parseMaterials,7-54,"protected void parseMaterials (ModelData model, JsonValue json, String materialDir)",,,,,,,,,,,,,,,,,,,,,
libgdx,Node,insertChild,4-5;11,"public <T extends Node> int insertChild (int index, final T child)",,,,,,,,,,,,,,,,,,,,,
libgdx,Node,extendBoundingBox,5-9,"public BoundingBox extendBoundingBox (final BoundingBox out, boolean transform)",,,,,,,,,,,,,,,,,,,,,
libgdx,Node,set,14-17;10-13,protected Node set (Node other),,,,,,,,,,,,,,,,,,,,,
libgdx,Node,insertChildren,2-4,"public <T extends Node> int insertChildren (int index, final Iterable<T> nodes)",,,,,,,,,,,,,,,,,,,,,
libgdx,NodePart,set,8-12,protected NodePart set (NodePart other),,,,,,,,,,,,,,,,,,,,,
libgdx,Node,detach,1-2,public void detach (),,,,,,,,,,,,,,,,,,,,,
libgdx,RegularEmitter,update,38-49,public void update (),,,,,,,,,,,,,,,,,,,,,
libgdx,RegularEmitter,read,2-7,"public void read (Json json, JsonValue jsonData)",,,,,,,,,,,,,,,,,,,,,
libgdx,RegularEmitter,write,2-7,public void write (Json json),,,,,,,,,,,,,,,,,,,,,
libgdx,RegularEmitter,activateParticles,7-14;4-5,"public void activateParticles (int startIndex, int count)",,,,,,,,,,,,,,,,,,,,,
libgdx,ModelInstanceRenderer,update,3-16;18-22;,public void update (),,,,,,,,,,,,,,,,,,,,,
libgdx,WeightMeshSpawnShapeValue,calculateWeights,1-33,public void calculateWeights (),,,,,,,,,,,,,,,,,,,,,
libgdx,CylinderSpawnShapeValue,spawnAux,19-31,"public void spawnAux (Vector3 vector, float percent)",,,,,,,,,,,,,,,,,,,,,
libgdx,ScaledNumericValue,read,2-6,"public void read (Json json, JsonValue jsonData)",,,,,,,,,,,,,,,,,,,,,
libgdx,ScaledNumericValue,write,2-6,public void write (Json json),,,,,,,,,,,,,,,,,,,,,
libgdx,PrimitiveSpawnShapeValue,read,2-5,"public void read (Json json, JsonValue jsonData)",,,,,,,,,,,,,,,,,,,,,
libgdx,PrimitiveSpawnShapeValue,write,2-5,public void write (Json json),,,,,,,,,,,,,,,,,,,,,
libgdx,MeshSpawnShapeValue,save,2-4,"public void save (AssetManager manager, ResourceData data)",,,,,,,,,,,,,,,,,,,,,
libgdx,SpawnShapeValue,read,2-4,"public void read (Json json, JsonValue jsonData)",,,,,,,,,,,,,,,,,,,,,
libgdx,SpawnShapeValue,write,2-4,public void write (Json json),,,,,,,,,,,,,,,,,,,,,
libgdx,GradientColorValue,read,2-3,"public void read (Json json, JsonValue jsonData)",,,,,,,,,,,,,,,,,,,,,
libgdx,GradientColorValue,write,2-3,public void write (Json json),,,,,,,,,,,,,,,,,,,,,
libgdx,RangedNumericValue,read,2-3,"public void read (Json json, JsonValue jsonData)",,,,,,,,,,,,,,,,,,,,,
libgdx,RangedNumericValue,write,2-3,public void write (Json json),,,,,,,,,,,,,,,,,,,,,
libgdx,UnweightedMeshSpawnShapeValue,setMesh,2;4-7;11-13,"public void setMesh (Mesh mesh, Model model)",,,,,,,,,,,,,,,,,,,,,
libgdx,CylinderSpawnShapeValue,spawnAux,2;4;6;11-17;19-29,"public void spawnAux (Vector3 vector, float percent)",,,,,,,,,,,,,,,,,,,,,
libgdx,ScaledNumericValue,getScale,1-11,public float getScale (float percent),,,,,,,,,,,,,,,,,,,,,
libgdx,PrimitiveSpawnShapeValue,load,2;4,public void load (ParticleValue value),,,,,,,,,,,,,,,,,,,,,
libgdx,SpawnShapeValue,load,2-5,public void load (ParticleValue value),,,,,,,,,,,,,,,,,,,,,
libgdx,WeightMeshSpawnShapeValue,calculateWeights,2-11,public void calculateWeights (),,,,,,,,,,,,,,,,,,,,,
libgdx,BaseShader,render,2-5,public void render (Renderable renderable),,,,,,,,,,,,,,,,,,,,,
libgdx,BaseShader,render,3-9,"public void render (Renderable renderable, final Attributes combinedAttributes)",,,,,,,,,,,,,,,,,,,,,
libgdx,DefaultShader,render,1-3,"public void render (Renderable renderable, Attributes combinedAttributes)",,,,,,,,,,,,,,,,,,,,,
libgdx,BaseShader,init,35-43;28-34;22-23;16;17;19,"public void init (final ShaderProgram program, final Renderable renderable)",,,,,,,,,,,,,,,,,,,,,
libgdx,ACubemap,set,1-21,"public void set (BaseShader shader, int inputID, Renderable renderable, Attributes combinedAttributes)",,,,,,,,,,,,,,,,,,,,,
libgdx,DefaultShader,bindMaterial,1-27,protected void bindMaterial (final Attributes attributes),,,,,,,,,,,,,,,,,,,,,
libgdx,BaseShader,end,1-2,public void end (),,,,,,,,,,,,,,,,,,,,,
libgdx,DefaultShader,bindLights,1-13;15-16;20-25;29-35;39-45;49-55;59-67;71-79,"protected void bindLights (final Renderable renderable, final Attributes attributes)",,,,,,,,,,,,,,,,,,,,,
libgdx,DefaultShader,bindMaterial,7-9;12-14;16;22,protected void bindMaterial (final Attributes attributes),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelBuilder,createLineGrid,5-21,"public Model createLineGrid (int xDivisions, int zDivisions, float xSize, float zSize, Material material, long attributes)",,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,addMesh,5-14,"public void addMesh (Mesh mesh, int indexOffset, int numIndices)",,,,,,,,,,,,,,,,,,,,,
libgdx,BaseAnimationController,applyAnimation,9-16,"protected static void applyAnimation (final ObjectMap<Node, Transform> out, final Pool<Transform> pool, final float alpha, final Animation animation, final float time)",,,,,,,,,,,,,,,,,,,,,
libgdx,AnimationController,action,5-9,"protected AnimationDesc action (final AnimationDesc anim, float transitionTime)",,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,end,10-15,public Mesh end (Mesh mesh),,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,addMesh,11-17,"public void addMesh (float[] vertices, short[] indices, int indexOffset, int numIndices)",,,,,,,,,,,,,,,,,,,,,
libgdx,BaseAnimationController,applyNodeAnimationBlending,14-17;9-12,"private final static void applyNodeAnimationBlending (final NodeAnimation nodeAnim, final ObjectMap<Node, Transform> out, final Pool<Transform> pool, final float alpha, final float time)",,,,,,,,,,,,,,,,,,,,,
libgdx,CameraInputController,zoom,2-4,public boolean zoom (float amount),,,,,,,,,,,,,,,,,,,,,
libgdx,VertexInfo,set,4-5,"public VertexInfo set (Vector3 pos, Vector3 nor, Color col, Vector2 uv)",,,,,,,,,,,,,,,,,,,,,
libgdx,ModelBuilder,end,6-8,public Model end (),,,,,,,,,,,,,,,,,,,,,
libgdx,DefaultTextureBinder,bindTexture,2;24-25,"private final int bindTexture (final TextureDescriptor textureDesc, final boolean rebind)",,,,,,,,,,,,,,,,,,,,,
libgdx,AnimationController,queue,7,"protected AnimationDesc queue (final AnimationDesc anim, float transitionTime)",,,,,,,,,,,,,,,,,,,,,
libgdx,VertexInfo,lerp,1-4,"public VertexInfo lerp (final VertexInfo target, float alpha)",,,,,,,,,,,,,,,,,,,,,
libgdx,CameraInputController,process,1-3;5-11,"protected boolean process (float deltaX, float deltaY, int button)",,,,,,,,,,,,,,,,,,,,,
libgdx,CameraInputController,update,1-10;13,public void update (),,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,endpart,4-7,private void endpart (),,,,,,,,,,,,,,,,,,,,,
libgdx,BaseShaderProvider,getShader,6;8-9,public Shader getShader (Renderable renderable),,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,vertex,7-8;14-15;20-21,"public short vertex (Vector3 pos, Vector3 nor, Color col, Vector2 uv)",,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,transformPosition,2;7;11,"private final static void transformPosition (final float[] values, final int offset, final int size, Matrix4 transform)",,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,transformNormal,2;7;11,"private final static void transformNormal (final float[] values, final int offset, final int size, Matrix3 transform)",,,,,,,,,,,,,,,,,,,,,
libgdx,AnimationController,animate,3-7;,"protected AnimationDesc animate (final AnimationDesc anim, float transitionTime)",,,,,,,,,,,,,,,,,,,,,
libgdx,AnimationController,setAnimation,8,protected AnimationDesc setAnimation (final AnimationDesc anim),,,,,,,,,,,,,,,,,,,,,
libgdx,MeshBuilder,createAttributes,1-10,public static VertexAttributes createAttributes (long usage),,,,,,,,,,,,,,,,,,,,,
libgdx,RenderableShapeBuilder,buildNormals,10-89,"public static void buildNormals (MeshPartBuilder builder, Renderable renderable, float vectorSize, Color normalColor, Color tangentColor, Color binormalColor)",,,,,,,,,,,,,,,,,,,,,
libgdx,SphereShapeBuilder,build,1-62,"public static void build (MeshPartBuilder builder, final Matrix4 transform, float width, float height, float depth, int divisionsU, int divisionsV, float angleUFrom, float angleUTo, float angleVFrom, float angleVTo)",,,,,,,,,,,,,,,,,,,,,
libgdx,EllipseShapeBuilder,build,16-63,"public static void build (MeshPartBuilder builder, float width, float height, float innerWidth, float innerHeight, int divisions, float centerX, float centerY, float centerZ, float normalX, float normalY, float normalZ, float tangentX, float tangentY, float tangentZ, float binormalX, float binormalY, float binormalZ, float angleFrom, float angleTo)",,,,,,,,,,,,,,,,,,,,,
libgdx,ArrowShapeBuilder,build,12-42,"public static void build (MeshPartBuilder builder, float x1, float y1, float z1, float x2, float y2, float z2, float capLength, float stemThickness, int divisions)",,,,,,,,,,,,,,,,,,,,,
libgdx,CylinderShapeBuilder,build,18-39,"public static void build (MeshPartBuilder builder, float width, float height, float depth, int divisions, float angleFrom, float angleTo, boolean close)",,,,,,,,,,,,,,,,,,,,,
libgdx,ConeShapeBuilder,build,18-30,"public static void build (MeshPartBuilder builder, float width, float height, float depth, int divisions, float angleFrom, float angleTo, boolean close)",,,,,,,,,,,,,,,,,,,,,
libgdx,BoxShapeBuilder,build,8-18,"public static void build (MeshPartBuilder builder, Vector3 corner000, Vector3 corner010, Vector3 corner100, Vector3 corner110, Vector3 corner001, Vector3 corner011, Vector3 corner101, Vector3 corner111)",,,,,,,,,,,,,,,,,,,,,
libgdx,PatchShapeBuilder,build,7-15,"public static void build (MeshPartBuilder builder, VertexInfo corner00, VertexInfo corner10, VertexInfo corner11, VertexInfo corner01, int divisionsU, int divisionsV)",,,,,,,,,,,,,,,,,,,,,
libgdx,CapsuleShapeBuilder,build,2-7,"public static void build (MeshPartBuilder builder, float radius, float height, int divisions)",,,,,,,,,,,,,,,,,,,,,
libgdx,RenderableShapeBuilder,buildNormals,5-7;10;46-50;63-66;6972,"public static void buildNormals (MeshPartBuilder builder, RenderableProvider renderableProvider, float vectorSize, Color normalColor, Color tangentColor, Color binormalColor)",,,,,,,,,,,,,,,,,,,,,
libgdx,EllipseShapeBuilder,build,4-6,"public static void build (MeshPartBuilder builder, float width, float height, float innerWidth, float innerHeight, int divisions, float centerX, float centerY, float centerZ, float normalX, float normalY, float normalZ, float angleFrom, float angleTo)",,,,,,,,,,,,,,,,,,,,,
libgdx,FrustumShapeBuilder,centerPoint,1;3,"private static Vector3 centerPoint (Vector3 point0, Vector3 point1, Vector3 point2)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glActiveTexture,2-3,public void glActiveTexture (int texture),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glAttachShader,2-3,"public void glAttachShader (int program, int shader)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBindAttribLocation,2-3,"public void glBindAttribLocation (int program, int index, String name)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBindBuffer,2-3,"public void glBindBuffer (int target, int buffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBindFramebuffer,2-3,"public void glBindFramebuffer (int target, int framebuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBindRenderbuffer,2-3,"public void glBindRenderbuffer (int target, int renderbuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBindTexture,3-4,"public void glBindTexture (int target, int texture)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBlendColor,2-3,"public void glBlendColor (float red, float green, float blue, float alpha)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBlendEquation,2-3,public void glBlendEquation (int mode),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBlendEquationSeparate,2-3,"public void glBlendEquationSeparate (int modeRGB, int modeAlpha)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBlendFunc,2-3,"public void glBlendFunc (int sfactor, int dfactor)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBlendFuncSeparate,2-3,"public void glBlendFuncSeparate (int srcRGB, int dstRGB, int srcAlpha, int dstAlpha)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBufferData,2-3,"public void glBufferData (int target, int size, Buffer data, int usage)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glBufferSubData,2-3,"public void glBufferSubData (int target, int offset, int size, Buffer data)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glClear,2-3,public void glClear (int mask),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glClearColor,2-3,"public void glClearColor (float red, float green, float blue, float alpha)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glClearDepthf,2-3,public void glClearDepthf (float depth),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glClearStencil,2-3,public void glClearStencil (int s),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glColorMask,2-3,"public void glColorMask (boolean red, boolean green, boolean blue, boolean alpha)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glCompileShader,2-3,public void glCompileShader (int shader),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glCompressedTexImage2D,2-3,"public void glCompressedTexImage2D (int target, int level, int internalformat, int width, int height, int border, int imageSize, Buffer data)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glCompressedTexSubImage2D,3-4,"public void glCompressedTexSubImage2D (int target, int level, int xoffset, int yoffset, int width, int height, int format, int imageSize, Buffer data)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glCopyTexImage2D,2-3,"public void glCopyTexImage2D (int target, int level, int internalformat, int x, int y, int width, int height, int border)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glCopyTexSubImage2D,2-3,"public void glCopyTexSubImage2D (int target, int level, int xoffset, int yoffset, int x, int y, int width, int height)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glCullFace,2-3,public void glCullFace (int mode),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteBuffer,2-3,public void glDeleteBuffer (int buffer),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteBuffers,2-3,"public void glDeleteBuffers (int n, IntBuffer buffers)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteFramebuffer,2-3,public void glDeleteFramebuffer(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteFramebuffers,2-3,"public void glDeleteFramebuffers(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteProgram,2-3,public void glDeleteProgram(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteRenderbuffer,2-3,public void glDeleteRenderbuffer(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteRenderbuffers,2-3,"public void glDeleteRenderbuffers(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteShader,2-3,public void glDeleteShader(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteTexture,2-3,public void glDeleteTexture(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDeleteTextures,2-3,"public void glDeleteTextures(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDepthFunc,2-3,public void glDepthFunc(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDepthMask,2-3,public void glDepthMask(boolean),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDepthRangef,2-3,"public void glDepthRangef(float, float)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDetachShader,2-3,"public void glDetachShader(int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDisable,2-3,public void glDisable(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDisableVertexAttribArray,2-3,public void glDisableVertexAttribArray(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDrawArrays,2-3,"public void glDrawArrays(int, int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDrawElements,2-3,"public void glDrawElements(int, int, int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glDrawElements,2-3,"public void glDrawElements(int, int, int, java.nio.Buffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glEnable,2-3,public void glEnable(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glEnableVertexAttribArray,2-3,public void glEnableVertexAttribArray(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glFinish,2-3,public void glFinish(),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glFlush,2-3,public void glFlush(),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glFramebufferRenderbuffer,2-3,"public void glFramebufferRenderbuffer(int, int, int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glFramebufferTexture2D,2-3,"public void glFramebufferTexture2D(int, int, int, int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glFrontFace,2-3,public void glFrontFace(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGenBuffers,2-3,"public void glGenBuffers(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGenFramebuffers,2-3,"public void glGenFramebuffers(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGenRenderbuffers,2-3,"public void glGenRenderbuffers(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGenTextures,2-3,"public void glGenTextures(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGenerateMipmap,2-3,public void glGenerateMipmap(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetAttachedShaders,2-3,"public void glGetAttachedShaders(int, int, java.nio.Buffer, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetBooleanv,2-3,"public void glGetBooleanv(int, java.nio.Buffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetBufferParameteriv,2-3,"public void glGetBufferParameteriv(int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetFloatv,2-3,"public void glGetFloatv(int, java.nio.FloatBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetFramebufferAttachmentParameteriv,2-3,"public void glGetFramebufferAttachmentParameteriv(int, int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetIntegerv,2-3,"public void glGetIntegerv(int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetProgramiv,2-3,"public void glGetProgramiv(int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetRenderbufferParameteriv,2-3,"public void glGetRenderbufferParameteriv(int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetShaderPrecisionFormat,2-3,"public void glGetShaderPrecisionFormat(int, int, java.nio.IntBuffer, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetShaderiv,2-3,"public void glGetShaderiv(int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetTexParameterfv,2-3,"public void glGetTexParameterfv(int, int, java.nio.FloatBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetTexParameteriv,2-3,"public void glGetTexParameteriv(int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetUniformfv,2-3,"public void glGetUniformfv(int, int, java.nio.FloatBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetUniformiv,2-3,"public void glGetUniformiv(int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetVertexAttribPointerv,2-3,"public void glGetVertexAttribPointerv(int, int, java.nio.Buffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetVertexAttribfv,2-3,"public void glGetVertexAttribfv(int, int, java.nio.FloatBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glGetVertexAttribiv,2-3,"public void glGetVertexAttribiv(int, int, java.nio.IntBuffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glHint,2-3,"public void glHint(int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glLineWidth,2-3,public void glLineWidth(float),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glLinkProgram,2-3,public void glLinkProgram(int),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glPixelStorei,2-3,"public void glPixelStorei(int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glPolygonOffset,2-3,"public void glPolygonOffset(float, float)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glReadPixels,2-3,"public void glReadPixels(int, int, int, int, int, int, java.nio.Buffer)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glReleaseShaderCompiler,2-3,public void glReleaseShaderCompiler(),,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glRenderbufferStorage,2-3,"public void glRenderbufferStorage(int, int, int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glSampleCoverage,2-3,"public void glSampleCoverage(float, boolean)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glScissor,2-3,"public void glScissor(int, int, int, int)",,,,,,,,,,,,,,,,,,,,,
libgdx,GL20Interceptor,glShaderBinary,2-3,"public void glShaderBinary(int, java.nio.IntBuffer, int, java.nio.Buffer, int)",,,,,,,,,,,,,,,,,,,,,
